mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__penalty,param_tfidf__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.037804698944091795,0.003969380269680274,0.0,0.0,0.1,l1,1000,"{'classifier__C': 0.1, 'classifier__penalty': 'l1', 'tfidf__max_features': 1000}",,,,,,,,10,,,,,,,
0.029614019393920898,0.0036461112244790153,0.0,0.0,0.1,l1,2000,"{'classifier__C': 0.1, 'classifier__penalty': 'l1', 'tfidf__max_features': 2000}",,,,,,,,10,,,,,,,
0.026426172256469725,0.003204199855045415,0.0,0.0,0.1,l1,3000,"{'classifier__C': 0.1, 'classifier__penalty': 'l1', 'tfidf__max_features': 3000}",,,,,,,,10,,,,,,,
0.04033904075622559,0.0016975118696320806,0.007989978790283203,0.0017465100774114598,0.1,l2,1000,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'tfidf__max_features': 1000}",0.8194675540765392,0.829450915141431,0.826955074875208,0.829450915141431,0.8309741881765196,0.8272597294822258,0.004103915314925313,7,0.8235905970459746,0.8314957353858956,0.83399209486166,0.8285833159975037,0.8298668885191348,0.8295057263620338,0.0034657660636432898
0.039307165145874026,0.004319979766094838,0.00796055793762207,0.003904115497776698,0.1,l2,2000,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'tfidf__max_features': 2000}",0.8186356073211315,0.8286189683860233,0.8202995008319468,0.8277870216306157,0.8284762697751873,0.8247634735889809,0.00436507356599159,8,0.8181818181818182,0.8260869565217391,0.825462866652798,0.8235905970459746,0.8238352745424293,0.8234315025889518,0.002790175792318944
0.039272642135620116,0.0033289934907387,0.005334663391113281,0.0023625207813877426,0.1,l2,3000,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'tfidf__max_features': 3000}",0.8186356073211315,0.8286189683860233,0.8202995008319468,0.826955074875208,0.8226477935054122,0.8234313889839443,0.0038144359829766594,9,0.8179737882255045,0.8265030164343665,0.8252548366964843,0.823382567089661,0.8205074875207987,0.822724339193363,0.003117603217371263
0.026489686965942384,0.003736457252496556,0.0,0.0,1,l1,1000,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'tfidf__max_features': 1000}",,,,,,,,10,,,,,,,
0.024273109436035157,0.004123652144961241,0.0,0.0,1,l1,2000,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'tfidf__max_features': 2000}",,,,,,,,10,,,,,,,
0.02686629295349121,0.004222177957197462,0.0,0.0,1,l1,3000,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'tfidf__max_features': 3000}",,,,,,,,10,,,,,,,
0.04389777183532715,0.003273361779472642,0.007880258560180663,0.0035388147120324976,1,l2,1000,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'tfidf__max_features': 1000}",0.8810316139767055,0.8760399334442596,0.8602329450915142,0.8718801996672213,0.8734388009991674,0.8725246986357735,0.0068856757347498625,4,0.8872477636779696,0.8884959434158519,0.894112752236322,0.8907842729353027,0.8885191347753744,0.8898319734081641,0.002425638188631115
0.04667539596557617,0.003392570180281547,0.007208633422851563,0.0026346825272261175,1,l2,2000,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'tfidf__max_features': 2000}",0.8826955074875208,0.8743760399334443,0.8585690515806988,0.872712146422629,0.8751040799333888,0.8726913650715364,0.007850889861312426,2,0.8882879134595382,0.8895360931974204,0.8939047222800083,0.8922404826294986,0.8901830282861897,0.8908304479705309,0.0019999174250622553
0.04751811027526855,0.0013326657028241858,0.008191299438476563,0.00020818201374258192,1,l2,3000,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'tfidf__max_features': 3000}",0.8818635607321131,0.8743760399334443,0.8585690515806988,0.8710482529118136,0.8751040799333888,0.8721921970182918,0.007663970352328761,5,0.8884959434158519,0.8893280632411067,0.8949448720615769,0.8932806324110671,0.889351081530782,0.8910801185320769,0.002550129757529659
0.02871994972229004,0.002884940782445064,0.0,0.0,10,l1,1000,"{'classifier__C': 10, 'classifier__penalty': 'l1', 'tfidf__max_features': 1000}",,,,,,,,10,,,,,,,
0.025791072845458986,0.0007697295673492096,0.0,0.0,10,l1,2000,"{'classifier__C': 10, 'classifier__penalty': 'l1', 'tfidf__max_features': 2000}",,,,,,,,10,,,,,,,
0.02630190849304199,0.0031234112902652367,0.0,0.0,10,l1,3000,"{'classifier__C': 10, 'classifier__penalty': 'l1', 'tfidf__max_features': 3000}",,,,,,,,10,,,,,,,
0.0603032112121582,0.008282275350111825,0.004002046585083008,0.003158697247218764,10,l2,1000,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'tfidf__max_features': 1000}",0.8760399334442596,0.8718801996672213,0.8544093178036606,0.8643926788685524,0.8726061615320566,0.8678656582631501,0.007727125896489743,6,0.9194924069065945,0.9203245267318494,0.9228208862076139,0.9178281672560848,0.9193011647254575,0.9199534303655199,0.0016440651993563516
0.06492815017700196,0.004100141119215349,0.004647636413574218,0.0040075104595031765,10,l2,2000,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'tfidf__max_features': 2000}",0.8810316139767055,0.8835274542429284,0.8569051580698835,0.8668885191347754,0.8751040799333888,0.8726913650715364,0.00975375953978726,2,0.9330143540669856,0.9350946536301228,0.9367588932806324,0.9355107135427502,0.9305324459234608,0.9341822120887903,0.0021873013996517674
0.061194229125976565,0.0075235178108017334,0.008530950546264649,0.002103903871686941,10,l2,3000,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'tfidf__max_features': 3000}",0.8835274542429284,0.8826955074875208,0.8560732113144759,0.8668885191347754,0.8776019983347211,0.8733573381028844,0.010480805960629442,1,0.9344705637611816,0.936342833368005,0.9388391928437695,0.9369669232369461,0.9332362728785357,0.9359711572176875,0.0019538011438499166
